Distance_(µm),Gray_Value
154.21,24.3767
154.639,24.7963
155.069,24.4074
155.498,23.7494
155.928,23.2428
156.357,22.8963
156.787,23.0104
157.216,22.9544
157.646,23
158.076,22.9987
158.505,23.2916
158.935,23.9866
159.364,24.9417
159.794,24.9088
160.223,23.6229
160.653,23.2872
161.082,22.6832
161.512,21.6129
161.942,20.3661
162.371,19.6701
162.801,19.5355
163.23,20.6315
163.66,21.8024
164.089,21.621
164.519,20.3102
164.948,19.1931
165.378,18.4761
165.808,17.9876
166.237,17.5172
166.667,17.3323
167.096,17.8263
167.526,18.2183
167.955,18.1919
168.385,18.172
168.814,18.0353
169.244,18.0665
169.674,18.3394
170.103,18.768
170.533,19
170.962,19
171.392,19
171.821,18.8792
172.251,18.4736
172.68,18.5309
173.11,19.0206
173.54,19.7851
173.969,20.2784
174.399,20.6611
174.828,20.6438
175.258,20.441
175.687,20.6016
176.117,20.4809
176.546,19.5206
176.976,19.2008
177.406,19.23
177.835,19.1839
178.265,19.1491
178.694,19.4229
179.124,20.1067
179.553,21.6029
179.983,22.0759
180.412,21.7092
180.842,21.9994
181.271,21.8597
181.701,21.7445
182.131,21.9371
182.56,22.1153
182.99,22.3214
183.419,22.4212
183.849,22.1423
184.278,21.8112
184.708,21.4329
185.137,20.5704
185.567,20.1031
185.997,19.6357
186.426,19.5071
186.856,19.5727
187.285,19.6354
187.715,19.698
188.144,19.6237
188.574,19.3244
189.003,19.1486
189.433,19.3393
189.863,19.5773
190.292,19.1229
190.722,19
191.151,19.0582
191.581,18.8344
192.01,18.4524
192.44,18.6008
192.869,18.8678
193.299,19.9278
193.729,21.3182
194.158,22.2087
194.588,22.7113
195.017,23.2745
195.447,23.823
195.876,24.1075
196.306,23.4518
196.735,22.4952
197.165,21.5704
197.594,20.8826
198.024,20.624
198.454,19.7617
198.883,19.289
199.313,19.162
199.742,19.3436
200.172,19.2035
200.601,18.7498
201.031,18.9596
201.46,19.5575
201.89,20.1607
202.32,21.0974
202.749,21.1882
203.179,20.5569
203.608,20.5891
204.038,20.8127
204.467,21.123
204.897,21.4817
205.326,21.2757
205.756,20.5373
206.186,20.0632
206.615,19.656
207.045,19.9765
207.474,20.7945
207.904,21.199
208.333,21.427
208.763,21.8711
209.192,22.0441
209.622,22.2249
210.052,22.4152
210.481,22.7302
210.911,23.8807
211.34,24.8486
211.77,25.0686
212.199,24.8835
212.629,24.3299
213.058,23.7999
213.488,23.3921
213.918,23.1678
214.347,23.042
214.777,23.7176
215.206,24.4947
215.636,24.3286
216.065,23.1217
216.495,21.3726
216.924,20.1029
217.354,20.4045
217.784,21.4028
218.213,22.1034
218.643,22.1247
219.072,22.5527
219.502,23.9381
219.931,24.3435
220.361,24.2544
220.79,24.2833
221.22,23.8425
221.649,23.1257
222.079,22.6487
222.509,22.5271
222.938,23.2117
223.368,23.562
223.797,23.355
224.227,22.9692
224.656,22.4919
225.086,22.1875
225.515,22.1471
225.945,20.9807
226.375,19.9546
226.804,19.5533
227.234,19.4232
227.663,19.2172
228.093,19.3172
228.522,19.1739
228.952,19.0997
229.381,19.567
229.811,19.9541
230.241,20.1995
230.67,21.0183
231.1,21.7247
231.529,22.0668
231.959,21.6419
232.388,20.714
232.818,20.2987
233.247,20.1724
233.677,19.4401
234.107,19.4528
234.536,19.799
234.966,20.1709
235.395,20.8957
235.825,21.5282
236.254,21.774
236.684,21.6447
237.113,20.7898
237.543,20.6849
237.973,20.3423
238.402,20.3333
238.832,19.9772
239.261,19.0983
239.691,18.5206
240.12,17.7883
240.55,17.7179
240.979,18.2101
241.409,19.1551
241.838,19.412
242.268,19.3494
242.698,19.4448
243.127,20.1581
243.557,20.6225
243.986,20.6005
244.416,19.5244
244.845,19.0979
245.275,19.1253
245.704,19.7623
246.134,20.2543
246.564,21.189
246.993,20.3606
247.423,19.5012
247.852,19.1348
248.282,18.73
248.711,18.3262
249.141,18.0396
249.57,18.2478
250,18.6759
250.43,18.3787
250.859,17.4759
251.289,17.1151
251.718,17.3163
252.148,17.7575
252.577,17.6716
253.007,17.3057
253.436,17.1033
253.866,17.1071
254.296,17.3758
254.725,17.6371
255.155,18.177
255.584,18.6506
256.014,18.8354
256.443,18.6466
256.873,18.849
257.302,18.7894
257.732,18.7046
258.161,18.6675
258.591,19.0439
259.021,19.2126
259.45,19.2476
259.88,19.0508
260.309,18.6293
260.739,18.3297
261.168,18.1273
261.598,17.5046
262.027,17.3158
262.457,18.0425
262.887,18.6819
263.316,19.3006
263.746,20.5013
264.175,21.1064
264.605,21.3974
265.034,21.8205
265.464,20.8023
265.893,20.1319
266.323,19.4382
266.753,18.7386
267.182,18.048
267.612,18.4948
268.041,19.3561
268.471,19.7473
268.9,19.1031
269.33,18.6327
269.759,18.6583
270.189,19.0847
270.619,19.4472
271.048,18.6067
271.478,17.1315
271.907,17
272.337,17.7053
272.766,18.4364
273.196,18.8528
273.625,18.6371
274.055,18.4282
274.485,18.5129
274.914,18.4316
275.344,18.4653
275.773,18.2586
276.203,18.0445
276.632,17.7849
277.062,17.0966
277.491,17.1187
277.921,17.5905
278.351,18.2561
278.78,18.743
279.21,18.9942
279.639,18.8889
280.069,18.4065
280.498,18.4094
280.928,18.925
281.357,19.2514
281.787,18.9238
282.216,18.1856
282.646,18.0052
283.076,18.572
283.505,19.5098
283.935,19.8713
284.364,19.313
284.794,18.9811
285.223,20.076
285.653,21.09
286.082,22.1946
286.512,22.9951
286.942,23.0006
287.371,23.3351
287.801,23.607
288.23,23.743
288.66,24.1099
289.089,24.4545
289.519,24.6102
289.948,24.2423
290.378,23.7604
290.808,23.6206
291.237,23.1499
291.667,22.6481
292.096,22.2116
292.526,20.8764
292.955,20.0223
293.385,19.4869
293.814,19.2491
294.244,18.9784
294.674,18.4462
295.103,18.1208
295.533,17.9179
295.962,17.9311
296.392,17.9896
296.821,17.4596
297.251,17.4135
297.68,17.5988
298.11,18.2179
298.54,19.2464
298.969,20.0376
299.399,20.042
299.828,19.7453
300.258,19.2663
300.687,19.4719
301.117,19.7644
301.546,19.2049
301.976,18.3526
302.405,17.7739
302.835,17.9822
303.265,18.7135
303.694,18.9385
304.124,19.1105
304.553,19.4599
304.983,19.7409
305.412,19.198
305.842,18.4063
306.271,18.0371
306.701,18.3574
307.131,18.6321
307.56,18.605
307.99,18.4026
308.419,17.9152
308.849,17.6901
309.278,17.9307
309.708,17.8515
310.137,17.508
310.567,17.3976
310.997,17.738
311.426,18.4479
311.856,18.8563
312.285,19.0228
312.715,19.451
313.144,19.6416
313.574,19.6258
314.003,20.2979
314.433,20.8291
314.863,21.2755
315.292,21.7043
315.722,21.9066
316.151,22.327
316.581,22.9257
317.01,23.3608
317.44,23.7161
317.869,23.5989
318.299,23.7875
318.729,23.8662
319.158,24.081
319.588,24.5918
320.017,24.2992
320.447,24.0923
320.876,24.1094
321.306,23.9685
321.735,23.7556
322.165,23.6535
322.595,23.3819
323.024,23.4231
323.454,23.4857
323.883,23.5398
324.313,23.8105
324.742,23.3645
325.172,23.1571
325.601,23.2377
326.031,23.0133
326.46,22.8593
326.89,22.8951
327.32,22.6594
327.749,22.0416
328.179,21.1235
328.608,19.8681
329.038,19.3066
329.467,19
329.897,19.0171
330.326,19.5706
330.756,20.0794
331.186,20.2539
331.615,19.7997
332.045,19.0698
332.474,19
332.904,19.0005
333.333,18.8704
333.763,18.6302
334.192,18.5585
334.622,18.9549
335.052,19.3522
335.481,19.4705
335.911,19.365
336.34,19.3024
336.77,19.279
337.199,18.9824
337.629,18.5538
338.058,18.4668
338.488,19.2617
338.918,19.1174
339.347,18.457
339.777,17.9602
340.206,17.9075
340.636,18.3084
341.065,18.513
341.495,18.3379
341.924,17.7356
342.354,17.1101
342.784,17.0393
343.213,17.0626
343.643,16.688
344.072,16.0519
344.502,15.5393
344.931,15.148
345.361,15.1191
345.79,15.3848
346.22,14.7493
346.649,14.1928
347.079,14.5879
347.509,15.3121
347.938,15.8841
348.368,16.169
348.797,16.3087
349.227,16.4238
349.656,16.5603
350.086,16.5706
350.515,16.3683
350.945,16.3333
351.375,16.3333
351.804,16.7974
352.234,18.0099
352.663,19.7557
353.093,21.1538
353.522,22.3221
353.952,22.6671
354.381,22.7491
354.811,22.4225
355.241,22.0706
355.67,21.5645
356.1,20.251
356.529,19.3397
356.959,19.0006
357.388,19.2029
357.818,19.5887
358.247,19.6667
358.677,19.3799
359.107,18.9876
359.536,18.7852
359.966,18.7505
360.395,18.818
360.825,18.9548
361.254,19.1933
361.684,20.172
362.113,20.3691
362.543,19.9816
362.973,19.4326
363.402,18.7148
363.832,18.5895
364.261,18.7069
364.691,18.6568
365.12,18.7053
365.55,18.9964
365.979,18.7314
366.409,18.4664
366.839,18.1968
367.268,18.0636
367.698,17.7949
368.127,18.3021
368.557,18.5054
368.986,18.2097
369.416,17.9448
369.845,17.823
370.275,18.0076
370.704,18.3265
371.134,18.7859
371.564,19.2144
371.993,19.2499
372.423,19.4649
372.852,19.1975
373.282,19.2856
373.711,18.8425
374.141,17.9822
374.57,17.168
375,17
375.43,17.134
375.859,17.6014
376.289,18.0811
376.718,18.0829
377.148,17.862
377.577,17.7142
378.007,17.922
378.436,18.1189
378.866,18.3292
379.296,18.3784
379.725,18.577
380.155,18.7109
380.584,20.1283
381.014,21.6287
381.443,22.4294
381.873,23.1287
382.302,23.319
382.732,22.7005
383.161,22.801
383.591,22.6622
384.021,22.3311
384.45,22.6599
384.88,23.4032
385.309,23.4324
385.739,22.6829
386.168,22.1436
386.598,21.7388
387.027,21.1277
387.457,21.5348
387.887,22.3726
388.316,23.2311
388.746,23.6311
389.175,23.9967
389.605,24.3302
390.034,24.6667
390.464,24.3391
390.893,23.6976
391.323,22.2735
391.753,21.3288
392.182,20.2903
392.612,19.29
393.041,18.7416
393.471,18.8944
393.9,18.9114
394.33,18.7577
394.759,18.4625
395.189,18.7071
395.619,20.1005
396.048,21.6636
396.478,22.6767
396.907,22.6852
397.337,21.9385
397.766,21.0154
398.196,20.7165
398.625,20.6939
399.055,20.8416
399.485,20.187
399.914,19.3258
400.344,19.1193
400.773,19.2468
401.203,19.6384
401.632,19.5491
402.062,19.6117
402.491,19.6743
402.921,19.6242
403.351,19.1485
403.78,19.1369
404.21,19.0778
404.639,19.059
405.069,19.1
405.498,19.2486
405.928,18.7358
406.357,18.5215
406.787,18.6797
407.216,18.9485
407.646,18.4811
408.076,18.4884
408.505,18.551
408.935,18.5594
409.364,18.6007
409.794,18.1921
410.223,18.1348
410.653,18.1974
411.082,18.2136
411.512,18.3013
411.942,18.3017
412.371,18.7829
412.801,19.0324
413.23,18.762
413.66,18.329
414.089,17.9147
414.519,17.6238
414.948,17.9485
415.378,18.1869
415.808,18.3462
416.237,18.6647
416.667,18.6111
417.096,18.6067
417.526,18.732
417.955,18.8572
418.385,19.0788
418.814,19.0248
419.244,18.6537
419.674,18.6667
420.103,18.5848
420.533,17.8719
420.962,17.5657
421.392,17.7113
421.821,18.032
422.251,18.0677
422.68,18.385
423.11,18.7403
423.54,19.2014
423.969,19.7349
424.399,19.606
424.828,19.252
425.258,19.1802
425.687,19.1462
426.117,19.6268
426.546,19.961
426.976,19.4047
427.405,18.6766
427.835,18.2978
428.265,18.2352
428.694,18.0433
429.124,18
429.553,18.1084
429.983,18.0366
430.412,17.9252
430.842,18.0006
431.271,17.7037
431.701,17.3085
432.131,17.3024
432.56,17.8941
432.99,17.7268
433.419,17.4534
433.849,17.3806
434.278,17.76
434.708,17.9624
435.137,17.8691
435.567,17.4901
435.997,17.7884
436.426,18.9445
436.856,21.4539
437.285,22.1795
437.715,22.3705
438.144,22.0203
438.574,21.4612
439.003,20.4013
439.433,20.0853
439.863,19.7291
440.292,19.7417
440.722,19.9147
441.151,20.6332
441.581,21.6027
442.01,21.7614
442.44,21.6096
442.869,21.1501
443.299,20.3399
443.729,19.1505
444.158,18.5435
444.588,18.5223
445.017,18.4575
445.447,18.6667
445.876,18.5935
446.306,18.4623
446.735,18.5818
447.165,19.9687
447.595,22.3045
448.024,22.5564
448.454,21.4713
448.883,19.656
449.313,18.467
449.742,17.9548
450.172,17.9054
450.601,18.1166
451.031,18.319
451.46,18.3329
451.89,18.3904
452.32,18.5928
452.749,18.7952
453.179,18.9366
453.608,18.6786
454.038,18.5313
454.467,18.6867
454.897,18.7052
455.326,18.3427
455.756,18.5451
456.186,19.3265
456.615,19.8996
457.045,19.8362
457.474,19.2938
457.904,19.0935
458.333,19.7222
458.763,20.1525
459.192,19.5292
459.622,18.1932
460.052,17.1959
460.481,16.8721
460.911,16.9735
461.34,17.1758
461.77,17.3509
462.199,17.2883
462.629,17.0017
463.058,17.1409
463.488,17.7087
463.918,17.9686
464.347,17.8735
464.777,18.4342
465.206,18.5166
465.636,18.4958
466.065,18.1034
466.495,17.4915
466.924,16.7119
467.354,16.0685
467.784,16.0447
468.213,16.1597
468.643,16.1124
469.072,16.1048
469.502,16.346
469.931,16.3333
470.361,16.3333
470.79,16.3033
471.22,16.2666
471.649,16.0121
472.079,15.5067
472.509,15.9513
472.938,16.5006
473.368,16.7528
473.797,16.6373
474.227,16.7119
474.656,16.9689
475.086,17.0109
475.515,17.1735
475.945,17.5126
476.375,18.184
476.804,18.3213
477.234,18.3333
477.663,18.2668
478.093,18.2365
478.522,17.9093
478.952,17.3654
479.381,17.6753
479.811,17.8201
480.241,18.08
480.67,18.2854
481.1,18.1819
481.529,17.7762
481.959,17.7166
482.388,18.1139
482.818,18.5911
483.247,18.6944
483.677,18.4261
484.107,18.1558
484.536,18.1803
484.966,17.9938
485.395,17.2885
485.825,17
486.254,17.3603
486.684,18.1787
487.113,18.646
487.543,18.4068
487.973,18.3095
488.402,18.5796
488.832,18.8727
489.261,18.6703
489.691,18.4679
490.12,18.0825
490.55,17.5716
490.979,17.5923
491.409,17.6963
491.839,17.4807
492.268,17.1965
492.698,16.7873
493.127,16.6354
493.557,17.02
493.986,17.457
494.416,17.7123
494.845,17.9489
495.275,18.3408
495.704,18.723
496.134,18.6827
496.564,18.6121
496.993,18.639
497.423,18.3173
497.852,17.9126
498.282,17.6686
498.711,17.3386
499.141,17.0081
499.57,17.0072
500,17.2778
500.43,17.1239
500.859,16.8589
501.289,16.5939
501.718,16.7257
502.148,16.7177
502.577,16.6283
503.007,16.1728
503.436,15.6667
503.866,15.6667
504.296,15.7907
504.725,16.4524
505.155,17.122
505.584,18.2237
506.014,19.2837
506.443,19.1512
506.873,18.378
507.302,17.0124
507.732,15.894
508.161,15.439
508.591,15.3333
509.021,15.6702
509.45,16.1694
509.88,16.1072
510.309,16.464
510.739,16.5691
511.168,16.8422
511.598,17.2299
512.027,17.3333
512.457,17.3333
512.887,17.247
513.316,16.8475
513.746,16.6667
514.175,16.832
514.605,17.9571
515.034,18.6102
515.464,18.8568
515.893,18.8247
516.323,18.7422
516.753,18.7126
517.182,18.7013
517.612,18.7045
518.041,18.1856
518.471,17.6596
518.9,17.1583
519.33,17
519.759,16.9689
520.189,16.7861
520.619,16.565
521.048,16.6015
521.478,16.4729
521.907,16.1973
522.337,16.1882
522.766,15.8969
523.196,15.9244
523.625,15.6289
524.055,15.1733
524.485,15.1323
524.914,15.2646
525.344,15.6536
525.773,16.0104
526.203,16.1827
526.632,15.8629
527.062,15.3778
527.491,15.3404
527.921,15.5428
528.351,15.869
528.78,16.5566
529.21,16.6667
529.639,16.6667
530.069,16.6128
530.498,16.6651
530.928,16.6466
531.357,17.4185
531.787,18.4507
532.216,18.7728
532.646,18.8331
533.076,18.2756
533.505,17.2131
533.935,16.4926
534.364,16.3807
534.794,16.2156
535.223,15.9763
535.653,15.948
536.082,16.0212
536.512,15.969
536.942,15.7157
537.371,15.9864
537.801,16.9624
538.23,17.2984
538.66,17.3087
539.089,17.2993
539.519,18.0097
539.948,18.3723
540.378,18.3717
540.808,18.2617
541.237,18.7096
541.667,19.3138
542.096,19.4967
542.526,19.4885
542.955,19.3198
543.385,19.3748
543.814,19.556
544.244,18.2543
544.674,17.3952
545.103,17.0292
545.533,16.6365
545.962,15.9976
546.392,15.7554
546.821,15.773
547.251,15.7722
547.68,15.7904
548.11,15.5321
548.539,16.1025
548.969,16.5842
549.399,16.9058
549.828,17.0507
550.258,17.0624
550.687,17
551.117,17.5041
551.546,18
551.976,17.9971
552.406,18.0777
552.835,18.0429
553.265,17.7407
553.694,17.3441
554.124,17.1136
554.553,16.929
554.983,16.7081
555.412,16.7327
555.842,16.6961
556.271,16.7587
556.701,16.8213
557.131,16.6963
557.56,16.3171
557.99,16.0836
558.419,16.4884
558.849,16.7249
559.278,16.4874
559.708,16.4443
560.137,16.7603
560.567,16.7063
560.997,16.6314
561.426,16.8345
561.856,17.0604
562.285,17.3921
562.715,17.3608
563.144,17.1025
563.574,16.8375
564.003,16.596
564.433,16.6409
564.863,16.3759
565.292,15.9383
565.722,15.8364
566.151,15.6667
566.581,15.7558
567.01,15.9582
567.44,15.786
567.869,15.7092
568.299,16.2079
568.729,16.7704
569.158,17.2194
569.588,17.6121
570.017,17.8627
570.447,17.5977
570.876,17.1065
571.306,16.1718
571.735,15.987
572.165,15.9692
572.594,15.471
573.024,14.8177
573.454,14.7365
573.883,15.5475
574.313,16.4538
574.742,16.5624
575.172,15.8893
575.601,15.6708
576.031,16.055
576.461,16.3844
576.89,16.3333
577.32,16.3333
577.749,16.5785
578.179,16.8935
578.608,17.3057
579.038,16.9407
579.467,16.0673
579.897,15.768
580.326,15.6667
580.756,15.8625
581.186,16.3323
581.615,16.8186
582.045,17.0135
582.474,16.8448
582.904,16.4929
583.333,15.9465
583.763,14.9931
584.192,14.4515
584.622,14.6613
585.052,15.2227
585.481,15.3501
585.911,15.8041
586.34,16.154
586.77,15.8971
587.199,15.1409
587.629,14.3351
588.058,14.1735
588.488,14.2571
588.918,14.189
589.347,13.842
589.777,14.3436
590.206,14.3761
590.636,15.211
591.065,15.6396
591.495,15.6134
591.924,15.4048
592.354,15.1226
592.784,14.8641
593.213,14.6667
593.643,14.495
594.072,14.3362
594.502,14.5094
594.931,14.7787
595.361,14.7774
595.79,14.3169
596.22,14.3333
596.649,14.5116
597.079,15.0997
597.509,15.4389
597.938,15.7064
598.368,15.831
598.797,14.9723
599.227,14.3746
599.656,14
600.086,14
600.515,14.1523
600.945,14.5926
601.375,14.6667
601.804,14.5704
602.234,14.1105
602.663,14.1031
603.093,14.4983
603.522,14.8261
603.952,15.0712
604.381,15.3333
604.811,15.2139
605.241,15.2306
605.67,15.0582
606.1,15.0076
606.529,15.2386
606.959,14.8766
607.388,14.6096
607.818,14.7066
608.247,15.7119
608.677,17.5042
609.107,17.6747
609.536,16.8471
609.966,15.792
610.395,15.2051
610.825,15.3423
611.254,15.576
611.684,15.4924
612.113,15.2529
612.543,15.3043
612.973,15.2832
613.402,15.3333
613.832,15.4992
614.261,15.7306
614.691,15.7879
615.12,14.8699
615.55,14.2818
615.979,13.8971
616.409,14.358
616.839,14.588
617.268,14.6506
617.698,14.6018
618.127,14.3333
618.557,14.4141
618.986,15.0254
619.416,16.1625
619.845,16.3333
620.275,16.3034
620.704,16.3333
621.134,16.4605
621.564,16.9278
621.993,16.728
622.423,16.6283
622.852,16.6156
623.282,16.2027
623.711,15.4779
624.141,15.0679
624.57,14.9795
625,15.1667
625.43,15.1596
625.859,15.0691
626.289,14.4141
626.718,13.9415
627.148,13.7424
627.577,14.3111
628.007,13.8457
628.436,13.4912
628.866,13.4324
629.296,13.6348
629.725,14.0076
630.155,14.6152
630.584,14.3784
631.014,13.8026
631.443,13.3619
631.873,13.8318
632.302,14.384
632.732,14.0834
633.161,13.6404
633.591,13.3333
634.021,13.5275
634.45,13.7081
634.88,13.9628
635.309,14
635.739,14.0208
636.168,14.6905
636.598,15.0473
637.027,15.2774
637.457,14.9341
637.887,13.6669
638.316,13.2506
638.746,13.4888
639.175,13.7737
639.605,13.9068
640.034,13.9968
640.464,14.1803
640.893,14.432
641.323,14.6344
641.753,14.2987
642.182,14
642.612,13.8165
643.041,13.7903
643.471,13.7894
643.9,13.9781
644.33,13.949
644.759,13.7467
645.189,13.6667
645.619,13.8776
646.048,14.3333
646.478,14.3333
646.907,14.0968
647.337,13.8995
647.766,14.201
648.196,14.5435
648.625,15.09
649.055,14.8179
649.485,14.4506
649.914,14.0302
650.344,14.4128
650.773,14.2635
651.203,14.3873
651.632,14.5202
652.062,13.9641
652.491,13.896
652.921,14.1141
653.351,14.3007
653.78,14.5031
654.21,14.6609
654.639,14.5636
655.069,14.1651
655.498,14
655.928,14.2079
656.357,14.7791
656.787,14.8264
657.216,14.5189
657.646,14.3371
658.076,14.3333
658.505,14.4681
658.935,14.218
659.364,14.5591
659.794,14.5223
660.223,14.8899
660.653,14.6803
661.082,14.758
661.512,15.2593
661.942,16.0218
662.371,16.3419
662.801,16.1611
663.23,15.7564
663.66,15.3517
664.089,15.1028
664.519,14.7853
664.948,14.9904
665.378,15.3245
665.808,15.4532
666.237,15.3333
666.667,15.4002
667.096,15.6584
667.526,15.9191
667.955,16
668.385,15.6968
668.814,14.8477
669.244,14.5451
669.674,14.3427
670.103,14.7583
670.533,15.2262
670.962,15.6296
671.392,15.8189
671.821,15.5354
672.251,14.9259
672.68,14.3711
673.11,14.289
673.539,14.7474
673.969,14.2181
674.399,13.6148
674.828,13.153
675.258,12.992
675.687,13.1527
676.117,13.0515
676.546,12.7126
676.976,12.6173
677.406,12.8421
677.835,12.6978
