Distance_(µm),Gray_Value
0,27.0833
0.43,27.369
0.859,27.5628
1.289,27.4648
1.718,26.8049
2.148,26.0779
2.577,25.6667
3.007,25.6451
3.436,25.5157
3.866,25.2182
4.296,25.2308
4.725,25.3339
5.155,25.1535
5.584,24.6296
6.014,24.0372
6.443,23.8132
6.873,24.0137
7.302,24.2138
7.732,24.4759
8.162,24.69
8.591,25.1423
9.021,25.3517
9.45,25.289
9.88,24.9509
10.309,24.2708
10.739,23.7507
11.168,23.4282
11.598,23.6306
12.027,23.7463
12.457,23.6465
12.887,23.1008
13.316,22.5274
13.746,22.3348
14.175,22.8035
14.605,22.9181
15.034,23.1657
15.464,23.5819
15.893,23.6933
16.323,23.6667
16.753,23.8048
17.182,23.6957
17.612,23.6477
18.041,23.6662
18.471,23.6028
18.9,23.7552
19.33,23.8761
19.759,24.3561
20.189,24.621
20.619,24.3067
21.048,24
21.478,24
21.907,23.8316
22.337,23.3486
22.766,22.8141
23.196,22.5241
23.625,22.2672
24.055,22.0059
24.485,22.2076
24.914,22.0613
25.344,21.9215
25.773,21.7769
26.203,21.9962
26.632,22.2257
27.062,22.2784
27.491,22.3856
27.921,22.7263
28.351,22.9891
28.78,22.9414
29.21,22.7793
29.639,22.7841
30.069,23.0489
30.498,23.5155
30.928,23.4024
31.357,23.156
31.787,22.782
32.216,22.2411
32.646,21.5088
33.076,20.7527
33.505,20.3573
33.935,20.5955
34.364,20.8023
34.794,21.4064
35.223,21.2097
35.653,21.3402
36.082,22.0899
36.512,22.6691
36.942,22.872
37.371,23.1504
37.801,23.025
38.23,23.2166
38.66,23.393
39.089,23.6532
39.519,23.6667
39.948,23.6667
40.378,23.7421
40.808,24
41.237,24
41.667,24.2037
42.096,24.4687
42.526,24.6528
42.955,24.1945
43.385,24.0521
43.814,23.9124
44.244,23.7726
44.674,23.5743
45.103,23.3309
45.533,23.0781
45.962,23.0673
46.392,23.0144
46.821,23.0666
47.251,23.2266
47.68,23.2841
48.11,23.3467
48.54,23.3105
48.969,23.3751
49.399,23.7457
49.828,23.7543
50.258,23.8505
50.687,24.0503
51.117,24.6353
51.546,25.0661
51.976,25.396
52.405,25.3604
52.835,25.3912
53.265,25.549
53.694,25.2159
54.124,25.1111
54.553,25.2617
54.983,25.3333
55.412,25.3333
55.842,25.2141
56.271,24.5634
56.701,23.831
57.131,23.3521
57.56,23.6254
57.99,24.2457
58.419,24.4703
58.849,24.105
59.278,23.5242
59.708,23.3334
60.137,23.3333
60.567,23.1369
60.997,22.8719
61.426,22.753
61.856,22.6746
62.285,22.3695
62.715,22.2877
63.144,21.7262
63.574,20.9153
64.003,20.6704
64.433,20.9033
64.863,21.1149
65.292,21.5197
65.722,21.7955
66.151,21.9979
66.581,22.2959
67.01,22.7095
67.44,23.1219
67.869,22.9828
68.299,22.0656
68.729,21.6847
69.158,21.9522
69.588,22.2031
70.017,22.1406
70.447,22.0826
70.876,22.6707
71.306,23.2474
71.735,23.6385
72.165,23.6667
72.595,23.6667
73.024,23.6667
73.454,23.6667
73.883,23.7444
74.313,23.8337
74.742,24.1701
75.172,24.4447
75.601,25.0104
76.031,25.4026
76.46,25.6667
76.89,25.6551
77.32,25.3153
77.749,24.6138
78.179,23.9445
78.608,23.2743
79.038,22.8622
79.467,22.6114
79.897,22.7175
80.326,22.8965
80.756,22.5667
81.186,22.7474
81.615,22.977
82.045,23.0513
82.474,23.3149
82.904,23.3171
83.333,23.4815
83.763,23.6768
84.192,24.104
84.622,24.3101
85.052,24.5879
85.481,24.7218
85.911,24.7144
86.34,25.1408
86.77,25.357
87.199,25.4088
87.629,25.3333
88.058,25.1846
88.488,25.1385
88.918,25.0724
89.347,25.3223
89.777,25.3786
90.206,25.1861
90.636,24.8895
91.065,24.6562
91.495,24.3912
91.924,24.6804
92.354,24.9948
92.784,25
93.213,25.0005
93.643,25.2265
94.072,25.3333
94.502,25.4764
94.931,25.7082
95.361,26.0859
95.79,26.5232
96.22,26.6399
96.649,26.28
97.079,25.5057
97.509,24.801
97.938,24.9731
98.368,25
98.797,25.0691
99.227,25.1535
99.656,25.3887
100.086,25.5139
100.515,25.1048
100.945,24.5333
101.375,24.4448
101.804,24.5074
102.234,24.1076
102.663,23.966
103.093,24.1936
103.522,24.7236
103.952,25.3931
104.381,25.8832
104.811,25.789
105.241,25.5867
105.67,25.3673
106.1,24.7675
106.529,24.1095
106.959,23.9009
107.388,23.6667
107.818,23.6783
108.247,24.1343
108.677,24.6183
109.107,24.9389
109.536,24.4914
109.966,24.027
110.395,24
110.825,23.7296
111.254,23.0422
111.684,22.7603
112.113,22.6716
112.543,22.2611
112.973,22.1915
113.402,22.5796
113.832,22.8179
114.261,22.3505
114.691,22.3333
115.12,22.4486
115.55,22.3965
115.979,22.4261
116.409,22.3717
116.838,22.5115
117.268,22.5299
117.698,22.3333
118.127,22.6561
118.557,23.0401
118.986,23.2102
119.416,23.2585
119.845,23.2822
120.275,23.481
120.704,23.6667
121.134,23.8257
121.564,23.6299
121.993,23.2438
122.423,22.9788
122.852,22.7575
123.282,23.0736
123.711,23.086
124.141,22.903
124.57,22.866
125,23.2963
125.43,23.3333
125.859,23.3475
126.289,23.4819
126.718,23.9974
127.148,23.6762
127.577,23.3969
128.007,23.1945
128.436,23.0565
128.866,23.1191
129.296,22.9828
129.725,23
130.155,22.7251
130.584,22.2414
131.014,21.7821
131.443,21.8751
131.873,22
132.302,21.8346
132.732,22.027
133.162,22.0146
133.591,22.1688
134.021,22.2187
134.45,22.3178
134.88,22.3291
135.309,22.3918
135.739,22.6503
136.168,22.9756
136.598,22.9326
137.027,22.3014
137.457,21.9322
137.887,22.0258
138.316,22.1676
138.746,22.3421
139.175,22.4003
139.605,22.6027
140.034,23.0241
140.464,23.3408
140.893,23.5949
141.323,24.1438
141.753,24.2835
142.182,24.0021
142.612,23.7623
143.041,23.9244
143.471,24.0796
143.9,23.752
144.33,24.0891
144.759,24.7103
145.189,25.1533
145.619,25.4359
146.048,25.114
146.478,25.0614
146.907,24.9732
147.337,24.5216
147.766,24.459
148.196,24.8911
148.625,25.1858
149.055,25.3333
149.485,25.3333
149.914,25.3333
150.344,25.3333
150.773,25.8849
151.203,26.5955
151.632,27
152.062,26.8736
152.491,26.1928
152.921,25.8941
153.351,25.6213
153.78,25.2746
154.21,24.9059
154.639,24.8023
155.069,24.8355
155.498,24.7306
155.928,24.6054
156.357,24.5617
156.787,24.4773
157.216,24.5664
157.646,24.8454
158.076,24.9712
158.505,25.0277
158.935,24.9845
159.364,25.1054
159.794,25.2194
160.223,25.017
160.653,24.6635
161.082,23.8511
161.512,23.5139
161.942,23.6252
162.371,23.6615
162.801,23.6667
163.23,23.4717
163.66,23.3333
164.089,23.5292
164.519,23.9966
164.948,24.209
165.378,24.4114
165.808,24.5144
166.237,24.3059
166.667,24.3508
167.096,24.5542
167.526,24.6684
167.955,24.7119
168.385,24.6359
168.814,24.6936
169.244,24.5005
169.674,23.9439
170.103,23.5653
170.533,23.4893
170.962,23.3309
171.392,22.8591
171.821,22.4981
172.251,22.0347
172.68,21.8287
173.11,21.9492
173.54,22.2213
173.969,22.4863
174.399,22.7512
174.828,23.0066
175.258,23
175.687,23.1713
176.117,23.4779
176.546,23.7428
176.976,24.0029
177.406,24.1413
177.835,24.3557
178.265,24.4345
178.694,24.2981
179.124,24.2215
179.553,24.4229
179.983,24.2818
180.412,23.7113
180.842,23.274
181.271,23.009
181.701,23.0481
182.131,23.2192
182.56,23.2262
182.99,23.4588
183.419,24.0659
183.849,24.1439
184.278,23.8207
184.708,23.4943
185.137,23.0825
185.567,23.0911
185.997,23.1848
186.426,23.1768
186.856,23.3938
187.285,23.7321
187.715,23.9345
188.144,24.2308
188.574,24.4958
189.003,24.6079
189.433,24.3076
189.863,24.0426
190.292,23.8768
190.722,24.0082
191.151,24.1635
191.581,23.9826
192.01,23.7176
192.44,23.2921
192.869,23.1161
193.299,23.1787
193.729,23.3396
194.158,23.358
194.588,23.227
195.017,23
195.447,23
195.876,23.1134
196.306,23.5808
196.735,24.0481
197.165,24.3007
197.594,24.4403
198.024,24.8597
198.454,24.9253
198.883,24.6079
199.313,24.3652
199.742,24.1317
200.172,23.9934
200.601,24.0055
201.031,23.915
201.46,23.8815
201.89,24.6023
202.32,25.5468
202.749,26.1229
203.179,26.0955
203.608,25.8479
204.038,25.845
204.467,25.8323
204.897,26.1217
205.326,26.068
205.756,25.9047
206.186,25.6422
206.615,25.2027
207.045,24.7764
207.474,24.5533
207.904,24.2172
208.333,23.6852
208.763,23.878
209.192,24.2868
209.622,24.701
210.052,25.0293
210.481,25.3368
210.911,25.6084
211.34,25.3952
211.77,24.9278
212.199,24.5592
212.629,24.6684
213.058,24.9334
213.488,25.0762
213.918,24.733
214.347,24.5461
214.777,24.677
215.206,25.1443
215.636,24.9534
216.065,24.3018
216.495,23.4259
216.924,23.0151
217.354,22.7501
217.784,22.8939
218.213,23.1132
218.643,23.5498
219.072,23.9794
219.502,23.7585
219.931,23.4935
220.361,23.1297
220.79,22.8301
221.22,22.751
221.649,22.9764
222.079,23.0627
222.509,22.8092
222.938,22.7075
223.368,22.7713
223.797,22.5289
224.227,22.6975
224.656,23.0928
225.086,23.5357
225.515,23.3058
225.945,22.8385
226.375,22.6667
226.804,22.6706
227.234,22.8856
227.663,23.0729
228.093,23.4715
228.522,23.5939
228.952,23.5019
229.381,22.9914
229.811,22.1768
230.241,21.601
230.67,20.8324
231.1,19.9673
231.529,19.996
231.959,20.2595
232.388,20.3333
232.818,19.8444
233.247,19.3356
233.677,19.3982
234.107,19.8354
234.536,20.0041
234.966,20.0475
235.395,20.1011
235.825,20.3288
236.254,20.2965
236.684,20.6819
237.113,21.106
237.543,21.5516
237.973,22.2423
238.402,22.584
238.832,22.8503
239.261,22.6901
239.691,22.2749
240.12,21.7449
240.55,21.4973
240.979,21.6519
241.409,21.5775
241.838,21.4266
242.268,21.3764
242.698,21.3333
243.127,21.3333
243.557,21.1718
243.986,21.1367
244.416,21.9704
244.845,22.1827
245.275,22.1409
245.704,21.7459
246.134,21.2947
246.564,20.6838
246.993,20.3611
247.423,20.1071
247.852,20.0674
248.282,20
248.711,20.0031
249.141,20.7373
249.57,21.4589
250,21.5185
250.43,20.7517
250.859,19.9803
251.289,19.8453
251.718,20.0152
252.148,20.9126
252.577,21.3072
253.007,21.4634
253.436,22.0232
253.866,22.4758
254.296,22.3228
254.725,22.0296
255.155,22.4545
255.584,22.5918
256.014,22.6667
256.443,22.6363
256.873,22.5329
257.302,22.718
257.732,23.0411
258.161,23.1527
258.591,22.6447
259.021,22.3797
259.45,22.2701
259.88,22.0678
260.309,22.0488
260.739,22.0136
261.168,22.2785
261.598,22.2583
262.027,22.0559
262.457,21.8859
262.887,21.9541
263.316,21.6996
263.746,21.5981
264.175,21.6314
264.605,21.9832
265.034,22.3606
265.464,22.563
265.893,22.568
266.323,22.3535
266.753,22.1644
267.182,22.3217
267.612,22.3333
268.041,22.3333
268.471,22.45
268.9,22.8969
269.33,23.3612
269.759,23.8316
270.189,23.9352
270.619,23.6753
271.048,23.433
271.478,22.8975
271.907,22.4213
272.337,22.3673
272.766,22.4322
273.196,22.4296
273.625,22.0286
274.055,21.8104
274.485,21.131
274.914,20.1395
275.344,19.6667
275.773,19.6667
276.203,19.696
276.632,19.5088
277.062,19.34
277.491,19.5672
