Distance_(µm),Gray_Value
0,21.66667
0.43,21.60405
0.859,21.51145
1.289,21.26629
1.718,21.40855
2.148,21.51184
2.577,21.51639
3.007,20.8389
3.436,20.83429
3.866,21.32546
4.296,20.99088
4.725,20.48092
5.155,20.07159
5.584,20.06494
6.014,19.79031
6.443,19.66667
6.873,19.73979
7.302,20.00869
7.732,20.53952
8.162,20.66667
8.591,20.48597
9.021,20.1553
9.45,19.62652
9.88,19.37196
10.309,19.51646
10.739,19.916
11.168,20.38965
11.598,20.65464
12.027,21.46564
12.457,21.83172
12.887,21.66223
13.316,21.49479
13.746,21.31206
14.175,21.2859
14.605,21.04058
15.034,20.50096
15.464,20.07076
15.893,19.68015
16.323,19.13897
16.753,18.7732
17.182,18.38383
17.612,18.22729
18.041,18.59176
18.471,18.83051
18.9,19.31882
19.33,19.75773
19.759,19.99031
20.189,19.71075
20.619,19.66667
21.048,19.51566
21.478,19.168
21.907,18.62371
22.337,17.86746
22.766,17.69568
23.196,17.71306
23.625,17.92707
24.055,18.15998
24.485,18.09737
24.914,18.17895
25.344,17.86718
25.773,17.26747
26.203,17.00381
26.632,16.74743
27.062,16.47251
27.491,16.3257
27.921,16.26528
28.351,16.19427
28.78,16.39194
29.21,16.63463
29.639,16.66667
30.069,16.71573
30.498,17.56165
30.928,17.87667
31.357,18.06714
31.787,17.94006
32.216,17.30222
32.646,17.04539
33.076,17.6043
33.505,18.12028
33.935,18.63402
34.364,19.35825
34.794,19.75914
35.223,19.74161
35.653,19.80948
36.082,20.21131
36.512,20.76786
36.942,21.17213
37.371,21.1026
37.801,21.60305
38.23,21.80917
38.66,21.37757
39.089,20.7802
39.519,20.54024
39.948,20.18958
40.378,20.15659
40.808,20.3404
41.237,20.60538
41.667,20.61625
42.096,20.66612
42.526,21.00172
42.955,21.14119
43.385,21.76035
43.814,22.1953
44.244,22.59775
44.674,23.25523
45.103,23.25143
45.533,23.01149
45.962,22.62619
46.392,22.33333
46.821,22.40103
47.251,22.96883
47.68,23.02757
48.11,22.22428
48.54,21.23447
48.969,21.24868
49.399,21.54448
49.828,21.71077
50.258,21.59375
50.687,21.61092
51.117,21.53979
51.546,21.49799
51.976,20.52157
52.405,19.57938
52.835,19.23998
53.265,18.98048
53.694,18.71
54.124,18.66667
54.553,18.92834
54.983,19.06968
55.412,19.2585
55.842,19.05174
56.271,19.22337
56.701,19.49329
57.131,19.39292
57.56,18.92714
57.99,18.18041
58.419,17.60379
58.849,17.37651
59.278,17.19091
59.708,17.00002
60.137,17.2648
60.567,17.35325
60.997,17.78835
61.426,18.56258
61.856,19.24809
62.285,19.29429
62.715,19.14528
63.144,18.84965
63.574,18.71431
64.003,18.36661
64.433,18.27377
64.863,18.18466
65.292,18.14853
65.722,18.01661
66.151,18.306
66.581,18.27702
67.01,18.40264
67.44,18.62404
67.869,18.82734
68.299,19.00875
68.729,19.2121
69.158,19.57732
69.588,20.12505
70.017,20.64051
70.447,20.3728
70.876,20.26022
71.306,20.42631
71.735,20.62868
72.165,20.5288
72.595,20.92208
73.024,21.51292
73.454,21.54889
73.883,21.74437
74.313,22.01871
74.742,22.54067
75.172,22.92563
75.601,22.88335
76.031,22.88591
76.46,23.66899
76.89,24.09592
77.32,23.81443
77.749,23.66667
78.179,23.66621
78.608,23.46678
79.038,22.66474
79.467,21.7457
79.897,21.10357
80.326,21.12224
80.756,21.85676
81.186,22
81.615,22.15356
82.045,22.48549
82.474,22.64376
82.904,22.58114
83.333,22.27778
83.763,21.97002
84.192,21.5131
84.622,20.60147
85.052,20.34293
85.481,20.20542
85.911,20.47079
86.34,20.74685
86.77,20.6606
87.199,20.54611
87.629,20.67526
88.058,20.65941
88.488,20.48505
88.918,19.96541
89.347,19.65286
89.777,19.70733
90.206,19.84834
90.636,19.75567
91.065,19.7247
91.495,19.66208
91.924,19.71964
92.354,19.5189
92.784,19.16666
93.213,19.33384
93.643,19.55988
94.072,19.72795
94.502,19.53627
94.931,19.31283
95.361,19.42554
95.79,19.14062
96.22,19.07019
96.649,18.8987
97.079,18.55937
97.509,18.2375
97.938,18.38276
98.368,18.32684
98.797,18.34849
99.227,18.65894
99.656,19.29516
100.086,19.09145
100.515,18.82646
100.945,18.77186
101.375,19.03685
101.804,19.53313
102.234,20.227
102.663,20.46632
103.093,20.19702
103.522,19.78693
103.952,19.78952
104.381,20
104.811,19.9008
105.241,19.35111
105.67,18.68061
106.1,18.07467
106.529,18.00715
106.959,18.19753
107.388,18.57331
107.818,19.35389
108.247,19.72337
108.677,19.86285
109.107,19.94293
109.536,19.44208
109.966,19
110.395,19.17507
110.825,19.17755
111.254,19.11493
111.684,18.93681
112.113,18.67182
112.543,18.40684
112.973,18.38927
113.402,18.68706
113.832,18.8388
114.261,18.66681
114.691,18.51631
115.12,18.62944
115.55,18.28179
115.979,18.01937
116.409,18.31138
116.838,18.33333
117.268,18.4663
117.698,18.17201
118.127,17.83846
118.557,18.02005
118.986,18.30049
119.416,18.33333
119.845,18.33333
120.275,18.67417
120.704,19.09194
121.134,19.92898
121.564,20.44206
121.993,20.25123
122.423,20.49176
122.852,20.55262
123.282,20.3143
123.711,19.70103
124.141,19.2522
124.57,19.18652
125,19.38889
125.43,19.54388
125.859,19.52558
126.289,19.2606
126.718,19
127.148,19.06739
127.577,19.10707
128.007,18.86732
128.436,18.60233
128.866,18.33734
129.296,18.0767
129.725,18.85285
130.155,19.34303
130.584,19.647
131.014,19.44464
131.443,19.49484
131.873,19.55746
132.302,19.83205
132.732,19.61913
133.162,19.35414
133.591,19.57751
134.021,19.82769
134.45,19.89252
134.88,19.58928
135.309,19.34101
135.739,19.80489
136.168,20.33486
136.598,20.86483
137.027,21.0819
137.457,20.00744
137.887,19.1459
138.316,18.83238
138.746,19.32548
139.175,19.73368
139.605,19.93604
140.034,20.27682
140.464,20.1958
140.893,19.26834
141.323,19.26108
141.753,19.52274
142.182,19.40076
142.612,19.18005
143.041,19
143.471,19.00403
143.9,19.03269
144.33,18.79782
144.759,18.50172
145.189,18.08023
145.619,17.79672
146.048,17.62998
146.478,17.29897
146.907,17
147.337,16.95799
147.766,16.56357
148.196,16.09622
148.625,15.81462
149.055,15.75701
149.485,15.92383
149.914,16.13364
150.344,16.32505
150.773,16.17698
151.203,15.958
151.632,15.90316
152.062,15.83276
152.491,16.01413
152.921,16.48152
153.351,16.79817
153.78,16.71917
154.21,16.66667
154.639,16.66072
155.069,16.72052
155.498,16.57484
155.928,16.31272
156.357,15.83963
156.787,15.88679
157.216,16.15178
157.646,16.33333
158.076,16.33464
158.505,16.18752
158.935,15.56102
159.364,15.51473
159.794,15.76735
160.223,16.32337
160.653,16.605
161.082,16.8368
161.512,16.8472
161.942,16.95852
162.371,16.99487
162.801,16.93394
163.23,16.80508
163.66,16.64209
164.089,16.8385
164.519,17.00648
164.948,17.46392
165.378,17.85319
165.808,17.98125
166.237,17.7732
166.667,17.36934
167.096,17.30775
167.526,17.19708
167.955,17
168.385,16.88011
168.814,16.97063
169.244,17.30993
169.674,17.11367
170.103,17
170.533,17
170.962,17.00447
171.392,16.77033
171.821,16.34402
172.251,15.99515
172.68,16.01367
173.11,16.33656
173.54,16.811
173.969,16.87457
174.399,16.6708
174.828,16.45361
175.258,16.09739
175.687,16.26823
176.117,16.4706
176.546,16.66181
176.976,16.67157
177.406,16.93948
177.835,17.20447
178.265,17.38124
178.694,17.66667
179.124,17.66667
179.553,17.31272
179.983,17.0658
180.412,17.16094
180.842,17.41734
181.271,17.66395
181.701,17.61232
182.131,16.98759
182.56,16.83944
182.99,17.17917
183.419,17.88882
183.849,18.49523
184.278,18.84593
184.708,19.17267
185.137,18.98893
185.567,19.05155
185.997,18.78521
186.426,18.51604
186.856,18.47022
187.285,18.33333
187.715,18.33333
188.144,18.15435
188.574,18.15958
189.003,18.21917
189.433,18.27581
189.863,18.10044
190.292,18.22241
190.722,18.63326
191.151,19.00792
191.581,19.4293
192.01,19.10987
192.44,19.05346
192.869,19.13273
193.299,19.10138
193.729,18.89003
194.158,18.42268
194.588,17.95533
195.017,17.38483
195.447,17.2438
195.876,17.33333
196.306,17.33333
196.735,17.53055
197.165,17.52572
197.594,17.52845
198.024,17.34409
198.454,17.07617
198.883,16.73343
199.313,16.6113
199.742,16.5905
200.172,16.80981
200.601,17.00554
201.031,17.09538
201.46,17.05107
201.89,16.95628
202.32,16.83963
202.749,16.74711
203.179,16.2163
203.608,16.04845
204.038,15.7819
204.467,15.96697
204.897,16.92528
205.326,17.37903
205.756,17.59481
206.186,17.66667
206.615,17.49465
207.045,17.55689
207.474,17.66667
207.904,17.55422
208.333,17.36934
208.763,17.43299
209.192,17.58263
209.622,17.95631
210.052,18.17349
210.481,18.33333
210.911,18.52902
211.34,18.66667
211.77,18.52826
212.199,18.19721
212.629,17.99484
213.058,17.79248
213.488,17.86502
213.918,18.10879
214.347,18.15108
214.777,17.98301
215.206,17.69232
215.636,17.907
216.065,18.29076
216.495,18.46759
216.924,18.34842
217.354,18.08343
217.784,18.05459
218.213,18.29216
218.643,18.28847
219.072,18.02348
219.502,17.82392
219.931,17.95189
220.361,18.32038
220.79,18.49673
221.22,18.3602
221.649,18.33333
222.079,18.45724
222.509,18.66165
222.938,18.66667
223.368,18.60233
223.797,18.57975
224.227,18.5946
224.656,18.57388
225.086,18.10653
225.515,17.79152
225.945,17.94521
226.375,18.52556
226.804,19.01661
227.234,19.21898
227.663,19.2604
228.093,18.83505
228.522,18.73341
228.952,19.06297
229.381,19.69244
229.811,20.11946
230.241,20.10271
230.67,19.50266
231.1,18.93719
231.529,18.6722
231.959,18.95087
232.388,19.01105
232.818,19
233.247,18.89347
233.677,18.42612
234.107,18.33333
234.536,18.32925
234.966,18.4139
235.395,18.41524
235.825,18.55498
236.254,17.72095
236.684,17.49236
237.113,17.37357
237.543,17.43818
237.973,17.66158
238.402,17.43242
238.832,17.34956
239.261,17.3904
239.691,17.16758
240.12,17.32405
240.55,17.61046
240.979,17.6386
241.409,17.49787
241.838,17.58801
242.268,17.65063
242.698,17.94352
243.127,18.06195
243.557,18.18357
243.986,18
244.416,18
244.845,18
245.275,18.0299
245.704,18.05516
246.134,18.45394
246.564,18.65252
246.993,18.58312
247.423,18.66667
247.852,18.61564
248.282,18.33772
248.711,18.33421
249.141,18.33333
249.57,18.50462
250,18.71296
250.43,18.98721
250.859,19.50825
251.289,19.73016
251.718,19.4069
252.148,18.99656
252.577,18.67777
253.007,18.89021
253.436,18.89104
253.866,18.93275
254.296,19
254.725,19.15535
255.155,19.29382
255.584,19.04562
256.014,18.98778
256.443,19.04858
256.873,19.29534
257.302,19.10634
257.732,18.87924
258.161,18.68966
258.591,17.99446
259.021,17.71306
259.45,17.90701
259.88,17.96945
260.309,18.05269
260.739,17.98659
261.168,17.89359
261.598,18
262.027,18.11804
262.457,18.25983
262.887,17.99484
263.316,17.72986
263.746,17.46487
264.175,17.35099
264.605,17.43263
265.034,17.69045
265.464,18.23948
265.893,18.3906
266.323,18.6344
266.753,18.58103
267.182,18.06106
267.612,18.05795
268.041,18.11054
268.471,18.20341
268.9,18.18194
269.33,18.3364
269.759,18.02961
270.189,18.11509
270.619,17.89454
271.048,17.66667
271.478,17.72948
271.907,17.93184
272.337,18.13421
272.766,18.33885
273.196,18.53895
273.625,18.68317
274.055,18.66667
274.485,18.88273
274.914,19.24189
275.344,18.9769
275.773,18.70017
276.203,18.66667
276.632,18.90424
277.062,19
277.491,18.9853
277.921,18.70449
278.351,18.66667
278.78,18.80966
279.21,18.99132
279.639,18.74976
280.069,17.92428
280.498,17.17201
280.928,17.37744
281.357,17.77905
281.787,17.8264
282.216,17.54467
282.646,17.53685
283.076,17.91905
283.505,18.50062
283.935,18.98734
284.364,18.86617
284.794,18.85281
285.223,19.07253
285.653,19.4076
286.082,19.60996
286.512,19.56625
286.942,19.68137
287.371,19.88373
287.801,20.29935
288.23,21.17144
288.66,21.25315
289.089,20.95506
289.519,20.40612
289.948,20.30069
290.378,20.0357
290.808,19.77071
291.237,19.50573
291.667,19.30761
292.096,19.34132
292.526,19.60418
292.955,19.16378
293.385,18.84746
293.814,18.73046
294.244,19.01585
294.674,19.28083
295.103,19.33333
295.533,19.51269
295.962,19.66667
296.392,19.81203
296.821,20.27289
297.251,20.61609
297.68,20.59278
298.11,20.39042
298.54,20.04318
298.969,19.38832
299.399,18.92096
299.828,18.48635
300.258,18.38432
300.687,18.50019
301.117,18.56281
301.546,18.56654
301.976,18.63186
302.405,18.31615
302.835,17.68884
303.265,17.07629
303.694,17.09979
304.124,17.18365
304.553,17.29387
304.983,17.02616
305.412,17
305.842,16.87101
306.271,16.62952
306.701,16.34307
307.131,16.1407
307.56,16.24947
307.99,16.33333
308.419,16.14586
308.849,15.66861
309.278,15.69302
309.708,15.69121
310.137,15.66667
310.567,16.04181
310.997,16.66738
311.426,16.84965
311.856,17.14003
312.285,17.45001
312.715,17.84431
313.144,18.34126
313.574,18.41967
314.003,18.34422
314.433,18.32747
314.863,18.39805
315.292,18.29589
315.722,18.16762
316.151,18.28465
316.581,18.47531
317.01,18.48625
317.44,18.33212
317.869,18.13935
318.299,17.69072
318.729,17.22337
319.158,17.16241
319.588,17.07484
320.017,17.3675
320.447,17.27231
320.876,17.44502
321.306,17.71
321.735,17.97499
322.165,18.23998
322.595,18.26323
323.024,18.2165
323.454,17.77177
323.883,17.67518
324.313,17.69863
324.742,17.90969
325.172,18.10211
325.601,18.56109
326.031,18.56987
326.46,18.5678
326.89,18.49847
327.32,18.34299
327.749,18.59106
328.179,18.85752
328.608,18.90378
329.038,19
329.467,18.97392
329.897,19.26356
330.326,19.58687
330.756,19.87954
331.186,20.27132
331.615,20.60576
332.045,20.40234
332.474,19.77581
332.904,19.13482
333.333,18.92078
333.763,18.78731
334.192,18.99877
334.622,18.85361
335.052,18.83109
335.481,19.01936
335.911,18.94712
336.34,18.68213
336.77,18.28438
337.199,17.97098
337.629,17.5897
338.058,17.37782
338.488,17.6428
338.918,18.26864
339.347,18.50611
339.777,18.84604
340.206,19.2368
340.636,19.30327
341.065,19.56606
341.495,19.666
341.924,20.10977
342.354,20.55655
342.784,20.62733
343.213,20.44234
343.643,20.02138
344.072,19.56052
344.502,19.31405
344.931,19.04892
345.361,19
345.79,18.95681
346.22,19.13688
346.649,19.13288
347.079,19.07026
347.509,19.21516
347.938,19.64089
348.368,20.16896
348.797,20.15179
349.227,20.07073
349.656,19.73736
350.086,19.63192
350.515,19.5693
350.945,19.17182
351.375,18.73281
351.804,18.66667
352.234,18.73493
352.663,18.66292
353.093,18.67437
353.522,18.45232
353.952,18.40168
354.381,18.49088
354.811,18.28771
355.241,18.03574
355.67,17.97272
356.1,17.7375
356.529,17.75654
356.959,17.66667
357.388,17.66667
357.818,17.41132
358.247,17.30404
358.677,17.53209
359.107,17.69549
359.536,17.96048
359.966,17.94331
360.395,17.5567
360.825,17.48854
361.254,17.68943
361.684,17.69924
362.113,17.57102
362.543,17.23569
362.973,16.87305
363.402,16.64261
363.832,16.70523
364.261,16.87533
364.691,17
365.12,17
365.55,16.9526
365.979,16.9514
366.409,17.27196
366.839,17.65502
367.268,17.85739
367.698,18.05976
368.127,18.46675
368.557,19.12085
368.986,19.79004
369.416,19.51806
369.845,19.01034
370.275,18.70333
370.704,18.5619
371.134,18.55155
371.564,18.30325
371.993,18.02157
372.423,18
372.852,18.02024
373.282,17.98378
373.711,18.03837
374.141,18.30336
374.57,18.59352
375,18.91667
375.43,18.86598
375.859,18.42003
376.289,18.34566
376.718,18.33333
377.148,18.23958
377.577,18.2087
378.007,17.97843
378.436,17.5945
378.866,17.33749
379.296,17.45938
379.725,17.58515
380.155,17.33333
380.584,17.33333
381.014,17.33333
381.443,17.41914
381.873,17.60917
382.302,17.60777
382.732,17.66667
383.161,17.46525
383.591,17.55183
384.021,17.93087
384.45,18.32349
384.88,18.7016
385.309,18.64318
385.739,18.44082
386.168,18.35109
386.598,18.67869
387.027,18.88011
387.457,18.59603
387.887,18.15793
388.316,18.04792
388.746,18.31291
389.175,18.33333
389.605,18.31111
390.034,18.36045
390.464,18.21478
390.893,18.01241
391.323,17.62008
391.753,17.33333
392.182,17.45428
392.612,17.68561
393.041,17.66718
393.471,17.75654
393.9,17.66667
394.33,17.66667
394.759,17.66667
395.189,17.6554
395.619,17.45304
396.048,17.168
396.478,16.75129
396.907,16.66667
397.337,16.66667
397.766,16.87762
398.196,17.04043
398.625,17.29687
399.055,17.33628
399.485,17.63918
399.914,17.96233
400.344,17.75945
400.773,17.3531
401.203,17.33333
401.632,17.33333
402.062,17.28429
402.491,17.45151
402.921,17.59862
403.351,17.15464
403.78,17
404.21,17.22608
404.639,17.52236
405.069,17.66762
405.498,17.46525
405.928,17.31481
406.357,17.33333
406.787,17.44234
407.216,17.65844
407.646,17.8445
408.076,17.91772
408.505,17.71535
408.935,17.45876
409.364,17.40884
409.794,17.88004
