Distance_(µm),Gray_Value
0,16.3333
0.43,15.9748
0.859,16.0685
1.289,16.4951
1.718,16.3734
2.148,16.2306
2.577,16.9416
3.007,17.8331
3.436,18.3568
3.866,18.7536
4.296,18.9167
4.725,18.6672
5.155,18.5131
5.584,18.5409
6.014,18.4568
6.443,18.4191
6.873,18.6823
7.302,18.9316
7.732,18.5759
8.162,18.6667
8.591,19.0281
9.021,19.1328
9.45,18.5245
9.88,17.6086
10.309,17.1794
10.739,17.2723
11.168,17.2787
11.598,17.0709
12.027,17.2129
12.457,17.5179
12.887,17.6667
13.316,17.8539
13.746,18.3114
14.175,18.8699
14.605,18.9528
15.034,18.5619
15.464,17.6979
15.893,17.0423
16.323,17.19
16.753,17.5016
17.182,18.006
17.612,18.0658
18.041,17.9629
18.471,18.1379
18.9,18.8824
19.33,19.8215
19.759,20.2041
20.189,19.9565
20.619,19.4266
21.048,19.319
21.478,19.1086
21.907,18.8603
22.337,18.9497
22.766,19.211
23.196,19.4278
23.625,19.5641
24.055,19.3304
24.485,19.3552
24.914,20.2058
25.344,22.0387
25.773,23.638
26.203,24.6321
26.632,24.4555
27.062,23.629
27.491,22.3203
27.921,21.3651
28.351,20.948
28.78,20.3986
29.21,19.9618
29.639,19.5493
30.069,19.2352
30.498,18.8833
30.928,18.8062
31.357,18.7943
31.787,18.9968
32.216,19.7182
32.646,20.1856
33.076,20.8221
33.505,21.1059
33.935,21.1447
34.364,20.8805
34.794,19.8832
35.223,19.3731
35.653,18.7157
36.082,17.8179
36.512,17
36.942,17
37.371,17.2119
37.801,17.4759
38.23,17.3333
38.66,17.2715
39.089,16.8041
39.519,16.9966
39.948,17.4639
40.378,17.7421
40.808,18.0071
41.237,18.2721
41.667,18.4074
42.096,18.6048
42.526,18.9064
42.955,19.2603
43.385,20.1155
43.814,21.1684
44.244,21.8901
44.674,20.9552
45.103,19.7664
45.533,18.8168
45.962,18.7526
46.392,19.2371
46.821,19.7005
47.251,19.9768
47.68,20.1917
48.11,19.7345
48.54,19.1548
48.969,18.5566
49.399,18.3234
49.828,17.9631
50.258,17.3824
50.687,17.1856
51.117,17.957
51.546,18.2984
51.976,18.5634
52.405,18.8555
52.835,19.0385
53.265,19.4473
53.694,19.7791
54.124,19.9971
54.553,19.7857
54.983,19.3599
55.412,18.6334
55.842,18.0816
56.271,17.7969
56.701,17.7342
57.131,17.8159
57.56,17.9011
57.99,18.0276
58.419,18.0085
58.849,18.0446
59.278,18.0491
59.708,18.0376
60.137,18
60.567,18
60.997,18
61.426,17.9734
61.856,18.3168
62.285,18.5099
62.715,18.7064
